"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_TRIPS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,20,7.4,0.631126420297479
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,30,10.8,0.724950660264508
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,30.4,5.7,0.716044377280602
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,37.9,16.4,0.799993968657121
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,25.7,13.8,0.872611336914164
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,21.6,6.9,0.809791550088627
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,28.8,9,0.678651726806974
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2009,26.9,5.8,0.694680020506566
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,23.4,3.3,0.7414246031879
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,28.9,9.7,0.819553948686675
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,15.6,7.5,0.814985206456218
"12",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,8.1,4.9,0.896659641269129
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,10.2,3.6,0.85615414772099
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,27.3,5.6,0.703593004982559
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,29.8,4.1,0.726507081801763
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,23.4,8.4,0.801277304391823
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,25.1,10.1,0.8347395297563
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,30.1,5.1,0.870178695286505
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,36.9,11.8,0.917419188382293
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,15.1,8.7,0.771882884724284
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2009,19.3,3.4,0.7272475966774
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,20.8,3.2,0.790420887210537
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,29.8,7.3,0.762608019675581
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,36.4,13.8,0.843302361270737
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,26.7,4.7,0.901962196883136
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,25.7,10.1,0.903987722866496
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,30.4,9.8,0.720004959104145
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2009,38.1,3.6,0.675798566550843
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,34.2,15.4,0.757865038650856
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,8.3,10.2,0.897123719596168
"31",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,12.8,6.7,0.915906326543605
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,22.8,6.7,0.85999075194092
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,46.2,15.4,0.713439172231697
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2009,33.6,7.6,0.680533170710459
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,29.2,3.5,0.746666845373122
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,45.7,5.1,0.776054563548574
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,49,14.7,0.854731756025479
