"","day","temp","wdsp","NUM_TRIPS"
"2",6,20,7.4,0.631126420297479
"3",7,30,10.8,0.724950660264508
"6",3,30.4,5.7,0.716044377280602
"8",5,37.9,16.4,0.799993968657121
"9",6,25.7,13.8,0.872611336914164
"10",7,21.6,6.9,0.809791550088627
"11",1,28.8,9,0.678651726806974
"12",2,26.9,5.8,0.694680020506566
"13",3,23.4,3.3,0.7414246031879
"14",4,28.9,9.7,0.819553948686675
"15",5,15.6,7.5,0.814985206456218
"16",6,8.1,4.9,0.896659641269129
"17",7,10.2,3.6,0.85615414772099
"18",1,27.3,5.6,0.703593004982559
"20",3,29.8,4.1,0.726507081801763
"21",4,23.4,8.4,0.801277304391823
"22",5,25.1,10.1,0.8347395297563
"23",6,30.1,5.1,0.870178695286505
"24",7,36.9,11.8,0.917419188382293
"25",1,15.1,8.7,0.771882884724284
"26",2,19.3,3.4,0.7272475966774
"27",3,20.8,3.2,0.790420887210537
"28",4,29.8,7.3,0.762608019675581
"29",5,36.4,13.8,0.843302361270737
"30",6,26.7,4.7,0.901962196883136
"31",7,25.7,10.1,0.903987722866496
"32",1,30.4,9.8,0.720004959104145
"33",2,38.1,3.6,0.675798566550843
"34",3,34.2,15.4,0.757865038650856
"36",5,8.3,10.2,0.897123719596168
"37",6,12.8,6.7,0.915906326543605
"38",7,22.8,6.7,0.85999075194092
"39",1,46.2,15.4,0.713439172231697
"40",2,33.6,7.6,0.680533170710459
"41",3,29.2,3.5,0.746666845373122
"42",4,45.7,5.1,0.776054563548574
"43",5,49,14.7,0.854731756025479
"44",6,39.1,16.7,0.920094759098113
"45",7,31.4,12.5,0.904172013898895
"46",1,31,6,0.756680549924441
"47",2,28.3,5.7,0.655801314162598
"48",3,29.8,9,0.754688531401517
"49",4,25.6,4.8,0.816962146621945
"50",5,41.3,8.6,0.85061703988393
"51",6,27.4,16.8,0.941512727808847
"52",7,30.1,13.1,0.87499539272419
"53",1,34.9,5.8,0.745995020791379
"54",2,32.6,18.4,0.762447183865488
"55",3,26.1,10.3,0.816106031007804
"56",4,27.1,2.4,0.816042366832975
"57",5,33.7,5.8,0.839335077955107
"58",6,46,9.6,0.88208389597944
"59",7,46.9,13.2,0.883663772739
"60",1,32.1,13.3,0.72328031336177
"62",3,19.2,8,0.792181704256453
"63",4,18.9,8.6,0.817912083125308
"64",5,25.6,7.1,0.716536936949012
"65",6,41.3,12.4,0.883012052633519
"66",7,51.1,9.5,0.822753911158319
"67",1,52.7,8.8,0.686753830740414
"68",2,39.6,7.9,0.681618812428587
"69",3,36.5,6.5,0.796345006215634
"70",4,43.8,11,0.811245773871553
